rank,genres,names,price,release,discription,players,peak_tody,images,imagehtml,,
26,Action,PAYDAY 2,9.99,2013-08-13,"PAYDAY 2 is an action-packed, four-player co-op shooter that once again lets gamers don the masks of the original PAYDAY crew - Dallas, Hoxton, Wolf and Chains - as they descend on Washington DC for an epic crime spree.",30744 ,33586 ,https://cdn.akamai.steamstatic.com/steam/apps/218620/header.jpg?t=1680024271,<img src='https://cdn.akamai.steamstatic.com/steam/apps/218620/header.jpg?t=1680024271'>,,
27,Simulation,Stardew Valley,14.99,2016-02-26,"You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?",28728 ,35803 ,https://cdn.akamai.steamstatic.com/steam/apps/413150/header.jpg?t=1666917466,<img src='https://cdn.akamai.steamstatic.com/steam/apps/413150/header.jpg?t=1666917466'>,,
28,Action,Crab Game,Free To Play,2021-10-29,"Crab Game is a First-Person Multiplayer game where you play through several different minigames based on children's games, until only one player stands victorious.",28270 ,42599 ,https://cdn.akamai.steamstatic.com/steam/apps/1782210/header.jpg?t=1638221608,<img src='https://cdn.akamai.steamstatic.com/steam/apps/1782210/header.jpg?t=1638221608'>,,
29,Simulation,Project Zomboid,19.99,2013-11-08,"Project Zomboid is the ultimate in zombie survival. Alone or in MP: you loot, build, craft, fight, farm and fish in a struggle to survive. A hardcore RPG skillset, a vast map, massively customisable sandbox and a cute tutorial raccoon await the unwary. So how will you die? All it takes is a bite..",28083 ,29819 ,https://cdn.akamai.steamstatic.com/steam/apps/108600/header.jpg?t=1679306018,<img src='https://cdn.akamai.steamstatic.com/steam/apps/108600/header.jpg?t=1679306018'>,,
30,Action,Terraria,9.99,2011-05-16,"Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!",27727 ,36962 ,https://cdn.akamai.steamstatic.com/steam/apps/105600/header.jpg?t=1666290860,<img src='https://cdn.akamai.steamstatic.com/steam/apps/105600/header.jpg?t=1666290860'>,,
31,Action,ELDEN RING,59.99,2022-02-24,"THE NEW FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.",26982 ,36584 ,https://cdn.akamai.steamstatic.com/steam/apps/1245620/header.jpg?t=1674441703,<img src='https://cdn.akamai.steamstatic.com/steam/apps/1245620/header.jpg?t=1674441703'>,,
32,Casual,The Simsþ 4,Free To Play ,2014-09-02,Play with life and discover the possibilities. Unleash your imagination and create a world of Sims that¡¯s wholly unique. Explore and customize every detail from Sims to homes_and much more.,25417 ,30191 ,https://cdn.akamai.steamstatic.com/steam/apps/1222670/header.jpg?t=1679000582,<img src='https://cdn.akamai.steamstatic.com/steam/apps/1222670/header.jpg?t=1679000582'>,,
33,Action,Valheim,19.99,2021-02-02,"A brutal exploration and survival game for 1-10 players, set in a procedurally-generated purgatory inspired by viking culture. Battle, build, and conquer your way to a saga worthy of Odin¡¯s patronage!",24302 ,32067 ,https://cdn.akamai.steamstatic.com/steam/apps/892970/header.jpg?t=1676365340,<img src='https://cdn.akamai.steamstatic.com/steam/apps/892970/header.jpg?t=1676365340'>,,
34,Simulation,Hearts of Iron IV,39.99,2016-06-06,"Victory is at your fingertips! Your ability to lead your nation is your supreme weapon, the strategy game Hearts of Iron IV lets you take command of any nation in World War II; the most engaging conflict in world history.",23508 ,37794 ,https://cdn.akamai.steamstatic.com/steam/apps/394360/header.jpg?t=1679479633,<img src='https://cdn.akamai.steamstatic.com/steam/apps/394360/header.jpg?t=1679479633'>,,
35,Simulation,Europa Universalis IV,39.99,2013-08-13,"Europa Universalis IV gives you control of a nation through four dramatic centuries. Rule your land and dominate the world with unparalleled freedom, depth and historical accuracy. Write a new history of the world and build an empire for the ages.",23280 ,29766 ,https://cdn.akamai.steamstatic.com/steam/apps/236850/header.jpg?t=1681894887,<img src='https://cdn.akamai.steamstatic.com/steam/apps/236850/header.jpg?t=1681894887'>,,
